
M6E
                         COMUNICADO  2019 - 2 - G0372                        -1- F
 
PARA         : EMPRESAS ASOCIADAS 
ASUNTO       : PRESUPUESTO SEMANA 30/2019                            
FECHA        : 22 de Julio del 2019
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 
 


Por medio de la presente les informamos, el presupuesto de la
semana 30/2019.

DIST    TDA     LUN     MAR     MIER    JUE     VIER    SAB     DOM

501     124     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     204     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     207     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     208     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     210     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     217     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     219     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     221     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     222     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     224     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     225     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     227     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     400     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     401     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     404     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     405     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     406     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     411     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     412     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     413     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     414     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     515     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     552     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     641     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     807     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     830     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     831     11.00   11.00   12.00   13.00   16.00   20.00   17.00
501     832     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     102     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     104     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     107     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     109     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     125     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     128     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     203     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     205     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     559     11.00   11.00   12.00   13.00   16.00   20.00   17.00
502     904     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     140     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     141     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     142     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     143     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     147     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     148     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     253     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     254     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     255     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     256     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     290     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     332     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     340     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     345     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     346     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     390     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     392     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     418     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     419     9.00    9.00    10.00   11.00   19.00   23.00   19.00
503     420     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     422     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     424     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     425     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     427     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     428     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     429     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     553     11.00   11.00   12.00   13.00   16.00   20.00   17.00
503     933     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     149     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     152     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     259     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     262     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     263     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     265     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     266     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     268     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     333     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     334     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     336     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     338     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     339     11.00   11.00   12.00   13.00   16.00   20.00   17.00
504     555     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     118     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     119     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     120     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     122     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     214     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     216     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     218     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     223     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     226     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     228     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     230     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     232     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     235     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     267     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     271     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     272     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     275     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     277     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     278     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     279     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     550     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     801     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     802     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     804     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     805     11.00   11.00   12.00   13.00   16.00   20.00   17.00
505     806     11.00   11.00   12.00   13.00   16.00   20.00   17.00
506     123     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     201     11.00   11.00   12.00   13.00   16.00   20.00   17.00
506     209     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     211     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     213     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     234     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     269     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     270     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     283     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     337     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     341     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     342     9.00    9.00    10.00   12.00   21.00   23.00   16.00
506     393     11.00   11.00   12.00   13.00   16.00   20.00   17.00
506     394     11.00   11.00   12.00   13.00   16.00   20.00   17.00
506     395     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     396     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     455     9.00    9.00    10.00   11.00   19.00   23.00   19.00
506     456     9.00    9.00    10.00   11.00   19.00   23.00   19.00
507     431     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     433     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     434     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     440     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     441     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     450     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     451     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     452     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     453     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     454     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     457     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     554     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     740     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     741     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     742     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     744     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     745     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     746     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     747     9.00    9.00    10.00   11.00   19.00   23.00   19.00
507     748     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     749     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     760     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     763     11.00   11.00   12.00   13.00   16.00   20.00   17.00
507     790     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     557     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     701     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     702     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     704     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     705     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     706     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     707     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     709     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     710     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     711     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     712     9.00    9.00    10.00   11.00   19.00   23.00   19.00
508     714     9.00    9.00    10.00   11.00   19.00   23.00   19.00
508     716     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     717     9.00    9.00    10.00   12.00   21.00   23.00   16.00
508     718     9.00    9.00    10.00   12.00   21.00   23.00   16.00
508     719     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     720     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     721     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     723     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     726     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     727     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     751     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     753     11.00   11.00   12.00   13.00   16.00   20.00   17.00
508     754     9.00    9.00    10.00   11.00   19.00   23.00   19.00
508     755     9.00    9.00    10.00   12.00   21.00   23.00   16.00
509     556     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     558     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     601     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     602     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     603     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     605     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     606     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     607     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     608     9.00    9.00    10.00   11.00   19.00   23.00   19.00
510     609     9.00    9.00    10.00   12.00   21.00   23.00   16.00
510     620     11.00   11.00   12.00   13.00   16.00   20.00   17.00
510     621     11.00   11.00   12.00   13.00   16.00   20.00   17.00
